sales_order_prefix,sales_order_number,order_date,customer_code,customer_name,warehouse_code,delivery_address,delivery_area,delivery_date,status
SO,000001,2025-11-19,CUST005,SafeWork Corp,WH003,"2363 Main St, City",Central,2025-11-25,Delivered
SO,000002,2025-11-19,CUST007,Industrial Systems Inc,WH001,"8837 Main St, City",West,2025-11-22,Delivered
SO,000003,2025-11-19,CUST006,Office Pro Services,WH003,"5654 Main St, City",East,2025-11-25,Delivered
SO,000004,2025-11-19,CUST008,Green Energy Co,WH002,"6203 Main St, City",West,2025-11-25,Delivered
SO,000005,2025-11-19,CUST002,XYZ Industries,WH002,"8347 Main St, City",Downtown,2025-11-30,Delivered
SO,000006,2025-11-19,CUST008,Green Energy Co,WH003,"3188 Main St, City",East,2025-11-22,Delivered
SO,000007,2025-11-19,CUST001,ABC Manufacturing,WH001,"6322 Main St, City",Downtown,2025-11-22,Delivered
SO,000008,2025-11-19,CUST008,Green Energy Co,WH002,"1592 Main St, City",West,2025-11-30,Cancelled
SO,000009,2025-11-20,CUST006,Office Pro Services,WH002,"3190 Main St, City",Central,2025-11-24,Delivered
SO,000010,2025-11-20,CUST010,Quality Assurance Ltd,WH003,"5466 Main St, City",North,2025-11-22,Cancelled
SO,000011,2025-11-20,CUST003,Tech Solutions Ltd,WH002,"1715 Main St, City",South,2025-11-24,Delivered
SO,000012,2025-11-20,CUST009,Metro Logistics,WH003,"8110 Main St, City",Central,2025-11-25,Delivered
SO,000013,2025-11-20,CUST006,Office Pro Services,WH003,"5513 Main St, City",North,2025-11-23,Delivered
SO,000014,2025-11-20,CUST008,Green Energy Co,WH001,"5880 Main St, City",Downtown,2025-11-29,Delivered
SO,000015,2025-11-20,CUST003,Tech Solutions Ltd,WH002,"4234 Main St, City",North,2025-12-03,Cancelled
SO,000016,2025-11-20,CUST009,Metro Logistics,WH002,"7547 Main St, City",South,2025-11-23,Cancelled
SO,000017,2025-11-21,CUST004,BuildRight Construction,WH003,"7600 Main St, City",West,2025-12-03,Delivered
SO,000018,2025-11-21,CUST009,Metro Logistics,WH002,"2729 Main St, City",Downtown,2025-11-29,Cancelled
SO,000019,2025-11-21,CUST005,SafeWork Corp,WH003,"959 Main St, City",Central,2025-11-28,Delivered
SO,000020,2025-11-21,CUST003,Tech Solutions Ltd,WH002,"6026 Main St, City",East,2025-12-03,Delivered
SO,000021,2025-11-21,CUST007,Industrial Systems Inc,WH002,"2150 Main St, City",Downtown,2025-11-24,Delivered
SO,000022,2025-11-21,CUST001,ABC Manufacturing,WH003,"6465 Main St, City",South,2025-11-24,Cancelled
SO,000023,2025-11-21,CUST007,Industrial Systems Inc,WH001,"8389 Main St, City",Central,2025-12-01,Delivered
SO,000024,2025-11-21,CUST009,Metro Logistics,WH003,"3163 Main St, City",East,2025-12-03,Cancelled
SO,000025,2025-11-22,CUST005,SafeWork Corp,WH003,"2357 Main St, City",Suburbs,2025-11-24,Delivered
SO,000026,2025-11-22,CUST009,Metro Logistics,WH003,"9008 Main St, City",Downtown,2025-11-27,Cancelled
SO,000027,2025-11-22,CUST001,ABC Manufacturing,WH003,"7344 Main St, City",Central,2025-12-05,Cancelled
SO,000028,2025-11-22,CUST003,Tech Solutions Ltd,WH002,"6986 Main St, City",South,2025-12-03,Cancelled
